time,alt,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,acc_x_2,acc_y_2,acc_z_2,mag_x,mag_y,mag_z
1760371820161,0,0,0,0,-0.012277886990142761,-0.04323271807196333,-8.821777678048349,0.9544412777099549,0.29389843504683144,-9.107140890418261,-26.48733902420347,7.642419878034431,15.690242842256268
1760371820263,0,0,0,0,-0.04240719021576664,0.16200589301194923,-9.342787824843258,0.06465955660742861,-0.2576924258000213,-9.784850626565273,-3.391970746244546,-28.375575345040073,-30.87989826508728
1760371820365,0,0,0,0,0.16249269145846668,-0.020079401475066483,-10.47568417275346,-0.6544115910410149,0.20086109308403532,-10.47935833325812,21.208780162240686,18.478012090154166,4.829400990413625
1760371820474,0,0,0,0,0.12281590513683577,-0.05255322464148268,-10.494840005366683,-0.21438190992525863,0.6992774941528324,-10.036756867638298,33.48309104227343,23.17156984497504,28.94510742794415
1760371820577,0,0,0,0,0.18827940069081167,0.07271517695050866,-8.87302006274954,-0.6542798200343289,0.7907511709737873,-8.66150337668862,49.66164767888745,-10.532021237192666,-11.99752301017476
1760371820679,0,0,0,0,0.12528766019945137,-0.18288118355760796,-9.170962755181177,0.909858935437472,-0.28074623105769203,-9.531472236115091,41.113722857810615,-30.163150557023766,29.360696428284
1760371820781,0,0,0,0,-0.1583879321584195,0.1658982261071701,-10.696292553022674,0.5318559853578553,0.5632211733079253,-10.660157105429994,48.49808043811322,44.734341813875005,-0.8153562341811096
1760371820882,0,0,0,0,-0.08774287340212475,-0.04359345766617695,-8.85169539287413,-0.24801080375521756,0.6813383312834114,-8.690333327073478,-16.251302915247464,-31.67079272270762,-34.11633516801473
1760371820984,0,0,0,0,0.19818464834908844,0.05626271095363394,-9.14263105853658,0.9184885097638116,0.13425924770435804,-9.110920505805915,32.101388677951746,-20.246157765542517,36.1302518234244
1760371821087,0,0,0,0,0.11668581739007416,0.11014428614690447,-10.283537513476233,-0.16421182585151173,-0.25658178071529947,-10.72769399603023,34.31553433943051,-27.743199707599896,9.779910765451291
1760371821189,0,0,0,0,-0.13687085883837086,-0.14768632151140937,-10.640907721523416,0.5611181833051755,-0.8430608556485386,-11.103877086597754,-46.09664700900492,26.72862379213916,-2.011169506959554
1760371821291,0,0,0,0,-0.04875443248197647,-0.07907362547661796,-10.726783023463467,0.12110112340976276,0.2491801899441557,-10.516090520026472,44.39834684214195,15.877576456071708,-38.31340157769738
1760371821393,0,0,0,0,-0.05945260518204504,0.1832190137952634,-9.239111287898718,0.8145703859404689,0.6672381477801193,-8.842135185394424,-10.508553299604984,-30.22605342603335,13.021405311261546
